"id","user_id","mensaje","enviado_utc","http","latencia_ms","error"
"1","5492610000001","hola","2026-08-12 14:09:25.141","200","160",
"2","5492610000002","me llego el producto equivocado","2026-08-12 14:09:28.333","200","41",
"3","5492610000003","hacen envios a todo el pais?","2026-08-12 14:09:31.391","200","42",
"4","5492610000004","buenas! queria saber cuando llega mi compra","2026-08-12 14:09:34.442","200","36",
"5","5492610000005","cuanto tarda el envio? porque el mio ya lleva 8 dias","2026-08-12 14:09:37.492","200","42",
"6","5492610000006","puedo pagar en cuotas?","2026-08-12 14:09:40.538","200","40",
"7","5492610000007","hace 10 dias que espero y no llega nada","2026-08-12 14:09:43.581","200","41",
"8","5492610000008","donde esta mi pedido ORD-2024-0087?","2026-08-12 14:09:46.638","200","39",
"9","5492610000009","gracias por todo","2026-08-12 14:09:49.693","200","43",
"10","5492610000010","cual es la politica de cambios?","2026-08-12 14:09:52.744","200","34",
"11","5492610000011","me cobraron dos veces la misma compra","2026-08-12 14:09:55.787","200","31",
"12","5492610000012","me pueden dar el numero de seguimiento?","2026-08-12 14:09:58.822","200","35",
"13","5492610000013","tienen garantia los productos?","2026-08-12 14:10:01.864","200","31",
"14","5492610000014","buenas!","2026-08-12 14:10:04.898","200","49",
"15","5492610000015","el producto vino fallado","2026-08-12 14:10:07.952","200","36",
"16","5492610000016","mi orden ORD-1122 figura despachada pero no llego nada","2026-08-12 14:10:10.995","200","34",
"17","5492610000017","hacen factura A?","2026-08-12 14:10:14.035","200","33",
"18","5492610000018","quiero la devolucion de mi plata","2026-08-12 14:10:17.080","200","38",
"19","5492610000019","che, el pedido que hice el martes ya salio?","2026-08-12 14:10:20.127","200","33",
"20","5492610000020","cuanto sale el envio a cordoba?","2026-08-12 14:10:23.169","200","32",
"21","5492610000021","hola, compre ayer y queria saber si me pueden hacer factura A","2026-08-12 14:10:26.217","200","37",
"22","5492610000022","excelente atencion, gracias!","2026-08-12 14:10:29.264","200","42",
"23","5492610000023","nadie responde mi reclamo anterior","2026-08-12 14:10:32.320","200","41",
"24","5492610000024","quiero saber el estado de mi compra por favor","2026-08-12 14:10:35.376","200","39",
"25","5492610000025","aceptan mercado pago?","2026-08-12 14:10:38.429","200","35",
"26","5492610000026","el monitor llego con la pantalla rota","2026-08-12 14:10:41.475","200","40",
"27","5492610000027","buen dia","2026-08-12 14:10:44.531","200","33",
"28","5492610000028","tengo el pedido 4471, en que anda?","2026-08-12 14:10:47.572","200","31",
"29","5492610000029","cuanto tarda el envio normalmente?","2026-08-12 14:10:50.613","200","36",
"30","5492610000030","pague y me dicen que no hay stock, esto es una verguenza","2026-08-12 14:10:53.660","200","34",
"31","5492610000031","cuando me llega lo que compre ayer?","2026-08-12 14:10:56.700","200","38",
"32","5492610000032","si no estoy en casa cuando llega el pedido que pasa?","2026-08-12 14:10:59.754","200","31",
"33","5492610000033","hola, una consulta","2026-08-12 14:11:02.801","200","37",
"34","5492610000034","pedi talle L y me mandaron S","2026-08-12 14:11:05.844","200","31",
"35","5492610000035","hola, hice una compra a nombre de Sordi, esta en camino?","2026-08-12 14:11:08.883","200","30",
